date,price
2024-01-10,0.755
2024-01-11,0.72
2024-01-12,0.645
2024-01-13,0.555
2024-01-14,0.5
2024-01-15,0.545
2024-01-16,0.55
2024-01-17,0.455
2024-01-18,0.525
2024-01-19,0.535
2024-01-20,0.585
2024-01-21,0.585
2024-01-22,0.585
2024-01-23,0.54
2024-01-24,0.53
2024-01-25,0.5
2024-01-26,0.505
2024-01-27,0.455
2024-01-28,0.47
2024-01-29,0.48
2024-01-30,0.445
2024-01-31,0.475
2024-02-01,0.485
2024-02-02,0.485
2024-02-03,0.465
2024-02-04,0.405
2024-02-05,0.4
2024-02-06,0.415
2024-02-07,0.42
2024-02-08,0.425
2024-02-09,0.425
2024-02-10,0.47
2024-02-11,0.475
2024-02-12,0.465
2024-02-13,0.485
2024-02-14,0.475
2024-02-15,0.42
2024-02-16,0.395
2024-02-17,0.395
2024-02-18,0.385
2024-02-19,0.385
2024-02-20,0.455
2024-02-21,0.465
2024-02-22,0.465
2024-02-23,0.41
2024-02-24,0.41
2024-02-25,0.435
2024-02-26,0.435
2024-02-27,0.425
2024-02-28,0.445
2024-02-29,0.44
2024-03-01,0.445
2024-03-02,0.445
2024-03-03,0.445
2024-03-04,0.445
2024-03-05,0.435
2024-03-06,0.425
2024-03-07,0.38
2024-03-08,0.375
2024-03-09,0.355
2024-03-10,0.345
2024-03-11,0.235
2024-03-12,0.31
2024-03-13,0.295
2024-03-14,0.275
2024-03-15,0.265
2024-03-16,0.255
2024-03-17,0.275
2024-03-18,0.32
2024-03-19,0.32
2024-03-20,0.245
2024-03-21,0.165
2024-03-22,0.21
2024-03-23,0.22
2024-03-24,0.195
2024-03-25,0.2
2024-03-26,0.255
2024-03-27,0.25
2024-03-28,0.195
2024-03-29,0.185
2024-03-30,0.205
2024-03-31,0.205
2024-04-01,0.205
2024-04-02,0.185
2024-04-03,0.185
2024-04-04,0.185
2024-04-05,0.185
2024-04-06,0.155
2024-04-07,0.145
2024-04-08,0.155
2024-04-09,0.155
2024-04-10,0.18
2024-04-11,0.195
2024-04-12,0.185
2024-04-13,0.185
2024-04-14,0.185
2024-04-15,0.175
2024-04-16,0.175
2024-04-17,0.175
2024-04-18,0.175
2024-04-19,0.125
2024-04-20,0.115
2024-04-21,0.115
2024-04-22,0.105
2024-04-23,0.105
2024-04-24,0.155
2024-04-25,0.15
2024-04-26,0.125
2024-04-27,0.12
2024-04-28,0.12
2024-04-29,0.115
2024-04-30,0.105
2024-05-01,0.105
2024-05-02,0.105
2024-05-03,0.095
2024-05-04,0.075
2024-05-05,0.065
2024-05-06,0.055
2024-05-07,0.065
2024-05-08,0.065
2024-05-09,0.075
2024-05-10,0.085
2024-05-11,0.125
2024-05-12,0.105
2024-05-13,0.155
2024-05-14,0.155
2024-05-15,0.135
2024-05-16,0.1
2024-05-17,0.1
2024-05-18,0.105
2024-05-19,0.125
2024-05-20,0.095
2024-05-21,0.61
2024-05-22,0.69
2024-05-23,0.65
2024-05-24,0.991
